"DATE","impressions_Facebook","impressions_TV","spend_Facebook","spend_TV","clicks_Search","spend_Search","total_revenue"
2018-02-18,294457512.250661,11499107.8317956,883710.407110234,230577.954125974,2431789.2906557,625296.876907783,419497.343626119
2018-02-25,396732639.600469,15291713.0744693,1189328.71321557,306387.084040202,3269101.90616023,856302.457472816,636071.525165111
2018-03-04,414387691.313388,15214370.3255217,1242604.41634546,305498.880032885,3539918.07530851,911453.008406916,786774.364829425
2018-03-11,315850237.232832,11094406.3548667,949248.433210161,223980.102330311,2725488.87047112,700003.193556649,408827.899310073
2018-03-18,438789260.760939,15945218.3637839,1319673.83262225,321032.821523254,4045876.69239574,1037356.94531451,737776.336456915
2018-03-25,328379529.004486,11671601.8581056,985205.041817783,233768.511172384,2794592.18451343,721639.754214433,597167.545556158
2018-04-01,471601983.412861,18380435.8219445,1416654.2053838,367420.031468772,4011983.69214123,1052608.11351332,801447.85742854
2018-04-08,413795714.897224,13672243.9991096,1242270.07534892,275070.418517329,3482570.42975357,917286.351779929,589337.992790052
2018-04-15,415990103.379773,14518760.1112643,1247044.60400591,289588.503400246,3889444.79023344,1011154.43465927,829422.529103423
2018-04-22,387403151.803933,14386118.7483747,1163503.84716631,289208.59052688,3150212.69359674,812993.317595707,619469.55353987
2018-04-29,407944955.617094,13445385.7095369,1221461.4263071,268647.957523099,3511188.19676124,899181.030421509,579606.331023503
2018-05-06,405715614.27446,14564251.3845653,1221330.21545466,292024.351444921,3641301.65886578,955677.507876485,537431.627599581
2018-05-13,400538519.807048,14851216.264756,1200936.63264226,299164.862739859,3336002.42621437,850584.556763713,614440.503134594
2018-05-20,375104065.143529,13363279.0486376,1124735.74848682,268994.370900831,3117438.12403011,815134.035179973,661300.782983007
2018-05-27,358247672.035019,15026470.3175424,1075637.91956651,300180.452112435,3290257.96199748,844833.529212847,525275.444603979
2018-06-03,381487059.100529,14371911.7260627,1144855.16775811,288771.784738513,3385648.74551941,850912.220672278,617147.843438894
2018-06-10,370256011.708311,12529101.0285161,1111029.791617,252173.333684884,3209606.96598863,853009.476895077,795485.587605909
2018-06-17,408860194.000262,15600661.2222048,1223241.86306025,314067.65563388,3432616.65296535,895191.29123198,560729.598262188
2018-06-24,401769297.856167,15212787.6522385,1204704.91333432,305244.85094249,3616089.14296618,935410.232051584,547364.631689552
2018-07-01,429877454.84471,16895147.5847601,1293994.05311596,338316.82565364,3488310.37604165,916150.630476222,620910.554890194
2018-07-08,303010902.685609,10423203.9399534,907761.436996439,208812.824146747,2653556.28649526,691429.437359223,523967.135970209
2018-07-15,401950575.224993,15632348.5533545,1205087.59308645,312679.517484578,3347061.70966883,861565.880053698,588916.418747151
2018-07-22,405748847.427764,15339357.3302368,1217571.5711292,308280.158685513,3782579.4235569,965117.376227424,847617.953580168
2018-07-29,426396094.697766,15845757.0929379,1281470.10479492,319088.842250485,3504170.35908389,905741.255446171,593101.512081491
2018-08-05,315867169.649325,11200049.6318489,948820.754217018,224161.692196739,2790245.50978567,718028.734137421,584829.154571079
2018-08-12,362406694.577686,13949582.0808251,1086661.3157154,278819.751278707,3019508.45170238,796074.617333496,593782.970290168
2018-08-19,348053268.560796,13425632.4442612,1046657.41360913,269752.280243548,2952517.53323809,787075.294491871,689100.728446151
2018-08-26,362987073.727555,14344722.5772229,1088617.45348936,288802.674245727,2951842.82283697,759711.345325035,567566.223333566
2018-09-02,406627757.785753,16309885.6455639,1223667.66643698,327796.027901473,3378861.7276729,882990.82368137,558763.366166474
2018-09-09,387782134.076082,15013961.352451,1161154.77796678,302386.966976065,3390228.66515746,889179.119303418,773289.952514542
2018-09-16,335142625.650777,13141551.2301539,1005148.80794882,263113.288508343,2898462.32587701,750266.391569899,630620.075071017
2018-09-23,443229207.955386,15467312.4530365,1330412.96177262,308548.728040444,3907084.39795872,1024674.40199766,673264.091685403
2018-09-30,388251925.528443,13224804.8758041,1161495.88769442,266150.9739111,3485685.89339496,882247.569271374,628253.706568494
2018-10-07,429812806.391544,15622554.6105171,1288452.14657551,313152.451944326,3999979.70722108,1033732.16808,866219.782035535
2018-10-14,338899311.159016,12887670.2518017,1018698.00181529,257820.457233197,2833635.90836102,727670.848039385,392520.561563904
2018-10-21,378292751.453885,14507817.2476713,1136044.0748155,291678.602150321,3091401.07692971,816097.688848626,558626.815623217
2018-10-28,374927020.084757,12752573.7689645,1121861.51346109,256587.513589522,3130828.36481245,812596.942638376,556843.354165207
2018-11-04,325024949.46556,11698404.1990659,974515.330427201,235438.734666035,2727281.69891136,714454.128448905,463882.254730936
2018-11-11,379855265.4273,14402813.5689743,1137622.74210564,288182.676782337,3348690.22333629,872806.428898332,528620.76320931
2018-11-18,431742518.602467,15530050.8298152,1292935.02833376,312838.953659245,3837332.53021315,1012922.93244942,866221.609917409
2018-11-25,358446142.40564,14413797.8879231,1076724.88378175,287856.448514418,3028190.94778295,789083.805528825,551248.199818087
2018-12-02,504808316.172375,19714641.1562309,1514605.69224984,393017.478281349,4705311.62800102,1237197.76841047,807228.335944065
2018-12-09,463064689.118038,16830136.9471746,1391188.06636348,338069.857405575,4347565.02628141,1126276.56778788,696079.615439864
2018-12-16,450067576.217145,16361927.1253133,1349394.50270917,328077.276827382,3848824.46051825,996564.787590806,753694.911987455
2018-12-23,424890931.426923,15008592.2119267,1274051.75059138,301683.437521098,3521268.01096928,887076.668891189,773680.706858511
2018-12-30,NA,NA,NA,NA,NA,NA,NA
